590,"MORGAN FOODS, INC.",64442.0,MORGANS FOODS INC,97
1036,THE BABOCK & WILCOX COMPANY,24854.0,BABCOCK & WILCOX CO,98
1043,"GLOBAL HOME PRODUCTS LLC C/O CERBERUS CAPITAL MANAGEMENT, L.P.",75585.0,HOME PRODUCTS INTERNATIONAL INC,55
2995,ARMOUR & COMPANY,83189.0,ARMOR HOLDINGS INC,51
4400,MERGENTHALER LINOTYPE CO.,24619.0,MERGANTHALER LINOTYPE CO,97
1949,"CLUET, PEABODY & CO.",11295.0,CLUETT PEABODY & CO INC,84
2122,MERGENTHALER LINOTYPE COMPANY,24619.0,MERGANTHALER LINOTYPE CO,97
2506,DOXSEE FOOD CORPORATION,87397.0,DOXEE FOOD CORP,97
5095,BISHOP & COMPANY,18324.0,BISHOP INC,74
7965,99 CENTS ONLY STORES LLC,83452.0,99 CENTS ONLY STORES,100
8529,"CRANE & COMPANY, INC.",20204.0,CRANE CO,100
27215,"BAKER & COMPANY, INC.",28134.0,BAKER INTERNATIONAL CORP,75
49566,General Industries Company; The,40184.0,INTERNATIONAL GENERAL INDS INC,82
52919,"OAKTITE PRODUCTS, INC.",47394.0,OAKITE PRODUCTS INC,98
53281,PHILLIP MORRIS & CO. LTD. INCORPORATED,13901.0,PHILIP MORRIS & CO LTD,88
53930,"LITTLEFUSE, INC.",77918.0,LITTELFUSE INC,94
3575,BORDER I.P. LIMITED,81654.0,BORDERS GROUP INC,47
161158,AABBOTT LABORATORIES,20482.0,ABBOTT LABS,97
741107,"Carter Company, Inc.",89876.0,CARTERS INC,74
662981,St. Joe Minerals Corporation,76123.0,ST JOE CORP,100
